,Date,Route,SailingTime,Vessel,ScheduledDeparture,ActualDeparture,ETA(Arrival.Time),Status,24HourDeparture,Traffic,WindSpeed_kph,Delay,Temperature
896,1012,2016-09-08,Swartz Bay to Tsawwassen,1 hour 35 minutes,Coastal Renaissance,9:00 PM,8:59 PM,10:35 PM,On Time,2100,2,4,-1,14
897,1013,2016-09-08,Duke Point to Tsawwassen,2 hours,Coastal Inspiration,5:15 AM,5:19 AM,7:21 AM,On Time,515,1,1,4,12
898,1014,2016-09-08,Duke Point to Tsawwassen,2 hours,Queen of Alberni,7:45 AM,7:44 AM,9:45 AM,On Time,745,1,1,-1,12
899,1015,2016-09-08,Duke Point to Tsawwassen,2 hours,Coastal Inspiration,10:15 AM,10:18 AM,12:21 PM,On Time,1015,1,3,3,16
900,1016,2016-09-08,Duke Point to Tsawwassen,2 hours,Queen of Alberni,12:45 PM,12:47 PM,2:47 PM,On Time,1245,1,2,2,17
901,1017,2016-09-08,Duke Point to Tsawwassen,2 hours,Coastal Inspiration,3:15 PM,3:21 PM,5:19 PM,On Time,1515,2,2,6,21
902,1018,2016-09-08,Duke Point to Tsawwassen,2 hours,Queen of Alberni,5:45 PM,5:46 PM,7:47 PM,On Time,1745,1,1,1,17
903,1019,2016-09-08,Duke Point to Tsawwassen,2 hours,Coastal Inspiration,8:15 PM,8:14 PM,10:13 PM,On Time,2015,1,4,-1,14
904,1020,2016-09-08,Duke Point to Tsawwassen,2 hours,Queen of Alberni,10:45 PM,10:42 PM,ETA: 12:45 AM,On Time,2245,3,3,-3,12
905,1021,2016-09-08,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Cowichan,6:20 AM,6:19 AM,8:04 AM,On Time,620,1,1,-1,12
906,1022,2016-09-08,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Oak Bay,8:30 AM,8:52 AM,10:37 AM,Operational delay,830,1,1,22,13
907,1023,2016-09-08,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Cowichan,10:40 AM,10:42 AM,12:25 PM,On Time,1040,1,3,2,16
908,1024,2016-09-08,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Oak Bay,12:50 PM,1:23 PM,3:07 PM,Operational delay,1250,1,2,33,17
909,1025,2016-09-08,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Cowichan,3:10 PM,3:22 PM,5:03 PM,Traffic delays,1510,2,2,12,21
910,1026,2016-09-08,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Oak Bay,5:20 PM,5:49 PM,7:31 PM,Operational delay,1720,2,1,29,17
911,1027,2016-09-08,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Cowichan,7:30 PM,7:45 PM,9:25 PM,Traffic delays,1930,1,4,15,14
912,1028,2016-09-08,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Oak Bay,9:30 PM,10:09 PM,11:54 PM,Operational delay,2130,2,4,39,14
913,1029,2016-09-08,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,6:00 AM,5:59 AM,6:21 AM,On Time,600,1,1,-1,12
914,1030,2016-09-08,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,7:00 AM,7:01 AM,7:23 AM,On Time,700,1,1,1,12
915,1031,2016-09-08,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,8:00 AM,8:06 AM,8:27 AM,On Time,800,1,1,6,13
916,1032,2016-09-08,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,9:05 AM,9:06 AM,9:27 AM,On Time,905,1,2,1,15
917,1033,2016-09-08,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,10:05 AM,10:05 AM,10:25 AM,On Time,1005,1,3,0,16
918,1034,2016-09-08,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,11:05 AM,11:06 AM,11:29 AM,On Time,1105,1,3,1,17
919,1035,2016-09-08,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,12:10 PM,12:09 PM,12:29 PM,On Time,1210,2,2,-1,17
920,1036,2016-09-08,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,2:35 PM,2:35 PM,2:55 PM,On Time,1435,2,4,0,20
921,1037,2016-09-08,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,3:45 PM,3:49 PM,4:09 PM,On Time,1545,3,2,4,21
922,1038,2016-09-08,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,4:45 PM,4:50 PM,5:11 PM,On Time,1645,1,3,5,20
923,1039,2016-09-08,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,5:50 PM,5:53 PM,6:13 PM,On Time,1750,2,1,3,17
924,1040,2016-09-08,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,6:50 PM,6:50 PM,7:11 PM,On Time,1850,1,2,0,16
925,1041,2016-09-08,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,7:50 PM,7:50 PM,8:09 PM,On Time,1950,2,4,0,14
926,1042,2016-09-08,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,8:40 PM,8:40 PM,8:59 PM,On Time,2040,2,4,0,14
927,1043,2016-09-08,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,9:40 PM,9:40 PM,10:00 PM,On Time,2140,1,4,0,14
928,1044,2016-09-08,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Oak Bay,6:20 AM,6:49 AM,8:29 AM,Operational delay,620,1,1,29,12
929,1045,2016-09-08,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Cowichan,8:30 AM,8:32 AM,10:13 AM,On Time,830,1,1,2,13
930,1046,2016-09-08,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Oak Bay,10:40 AM,11:11 AM,12:51 PM,Operational delay,1040,1,3,31,16
931,1047,2016-09-08,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Cowichan,12:50 PM,1:02 PM,2:45 PM,Traffic delays,1250,1,2,12,17
932,1048,2016-09-08,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Oak Bay,3:10 PM,3:37 PM,5:19 PM,Operational delay,1510,2,2,27,21
933,1049,2016-09-08,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Cowichan,5:20 PM,5:33 PM,7:15 PM,Operational delay,1720,2,1,13,17
934,1050,2016-09-08,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Oak Bay,7:30 PM,8:04 PM,9:43 PM,Operational delay,1930,1,4,34,14
935,1051,2016-09-08,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Cowichan,9:30 PM,9:45 PM,11:23 PM,Traffic delays,2130,2,4,15,14
936,1052,2016-09-08,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,7:20 AM,7:23 AM,...,On Time,720,1,1,3,12
937,1053,2016-09-08,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,9:25 AM,9:28 AM,10:07 AM,On Time,925,1,2,3,15
938,1054,2016-09-08,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,11:30 AM,11:34 AM,12:13 PM,On Time,1130,1,3,4,17
939,1055,2016-09-08,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,1:35 PM,1:46 PM,2:25 PM,Operational delay,1335,1,3,11,19
940,1056,2016-09-08,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,3:50 PM,4:04 PM,4:44 PM,Traffic delays,1550,3,2,14,21
941,1057,2016-09-08,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,5:50 PM,6:18 PM,6:59 PM,Traffic delays,1750,2,1,28,17
942,1058,2016-09-08,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,7:50 PM,8:22 PM,9:02 PM,Traffic delays,1950,2,4,32,14
943,1059,2016-09-08,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,9:45 PM,10:13 PM,10:57 PM,Traffic delays,2145,2,4,28,14
944,1060,2016-09-08,Langdale to Horseshoe Bay,40 minutes,Queen of Surrey,6:20 AM,6:19 AM,7:01 AM,On Time,620,1,1,-1,12
945,1061,2016-09-08,Langdale to Horseshoe Bay,40 minutes,Queen of Surrey,8:25 AM,8:25 AM,9:05 AM,On Time,825,1,1,0,13
946,1062,2016-09-08,Langdale to Horseshoe Bay,40 minutes,Queen of Surrey,10:25 AM,10:33 AM,11:13 AM,On Time,1025,2,3,8,16
947,1063,2016-09-08,Langdale to Horseshoe Bay,40 minutes,Queen of Surrey,12:35 PM,12:39 PM,1:19 PM,On Time,1235,2,2,4,17
948,1064,2016-09-08,Langdale to Horseshoe Bay,40 minutes,Queen of Surrey,2:45 PM,2:54 PM,3:35 PM,On Time,1445,2,4,9,20
949,1065,2016-09-08,Langdale to Horseshoe Bay,40 minutes,Queen of Surrey,4:50 PM,5:10 PM,5:51 PM,Stalled vehicle on car deck,1650,2,3,20,20
950,1066,2016-09-08,Langdale to Horseshoe Bay,40 minutes,Queen of Surrey,6:50 PM,7:19 PM,7:59 PM,Traffic delays,1850,1,2,29,16
951,1067,2016-09-08,Langdale to Horseshoe Bay,40 minutes,Queen of Surrey,8:45 PM,9:20 PM,10:01 PM,Traffic delays,2045,2,4,35,14
952,1068,2016-09-09,Tsawwassen to Swartz Bay,1 hour 35 minutes,Coastal Renaissance,7:00 AM,7:06 AM,8:39 AM,On Time,700,1,2,6,12
953,1069,2016-09-09,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of Vancouver Island,9:00 AM,9:04 AM,10:43 AM,On Time,900,1,2,4,15
954,1070,2016-09-09,Tsawwassen to Swartz Bay,1 hour 35 minutes,Coastal Celebration,10:00 AM,10:01 AM,11:37 AM,On Time,1000,1,3,1,16
955,1071,2016-09-09,Tsawwassen to Swartz Bay,1 hour 35 minutes,Coastal Renaissance,11:00 AM,11:12 AM,12:43 PM,Operational delay,1100,1,2,12,15
956,1072,2016-09-09,Tsawwassen to Swartz Bay,1 hour 35 minutes,Queen of New Westminster,12:00 PM,12:01 PM,1:29 PM,On Time,1200,1,2,1,17
957,1073,2016-09-09,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of Vancouver Island,1:00 PM,1:18 PM,2:49 PM,Delayed due to passenger medical emergency,1300,1,2,18,18
958,1074,2016-09-09,Tsawwassen to Swartz Bay,1 hour 35 minutes,Coastal Celebration,2:00 PM,2:08 PM,3:35 PM,On Time,1400,1,4,8,19
959,1075,2016-09-09,Tsawwassen to Swartz Bay,1 hour 35 minutes,Coastal Renaissance,3:00 PM,3:08 PM,4:33 PM,On Time,1500,2,3,8,19
960,1076,2016-09-09,Tsawwassen to Swartz Bay,1 hour 35 minutes,Queen of New Westminster,4:00 PM,4:04 PM,5:37 PM,On Time,1600,1,1,4,20
961,1077,2016-09-09,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of Vancouver Island,5:00 PM,5:15 PM,6:47 PM,Traffic delays,1700,3,1,15,19
962,1078,2016-09-09,Tsawwassen to Swartz Bay,1 hour 35 minutes,Coastal Celebration,6:00 PM,6:03 PM,7:33 PM,On Time,1800,2,0,3,18
963,1079,2016-09-09,Tsawwassen to Swartz Bay,1 hour 35 minutes,Coastal Renaissance,7:00 PM,7:02 PM,8:37 PM,On Time,1900,3,1,2,15
964,1080,2016-09-09,Tsawwassen to Swartz Bay,1 hour 35 minutes,Spirit of Vancouver Island,9:00 PM,9:24 PM,10:55 PM,Operational delay,2100,2,1,24,15
965,1081,2016-09-09,Tsawwassen to Swartz Bay,1 hour 35 minutes,Coastal Celebration,10:45 PM,10:45 PM,...,On Time,2245,4,4,0,15
966,1082,2016-09-09,Tsawwassen to Southern Gulf Islands,Variable,Queen of Nanaimo,10:10 AM,10:25 AM,...,Traffic delays,1010,1,3,15,16
967,1083,2016-09-09,Tsawwassen to Southern Gulf Islands,Variable,Queen of Nanaimo,4:05 PM,4:09 PM,...,On Time,1605,1,1,4,20
968,1084,2016-09-09,Tsawwassen to Southern Gulf Islands,Variable,Queen of Nanaimo,7:40 PM,7:48 PM,...,On Time,1940,3,1,8,15
969,1085,2016-09-09,Tsawwassen to Duke Point,2 hours,Queen of Alberni,5:15 AM,5:13 AM,7:15 AM,On Time,515,1,4,-2,11
970,1086,2016-09-09,Tsawwassen to Duke Point,2 hours,Coastal Inspiration,7:45 AM,7:48 AM,9:49 AM,On Time,745,1,2,3,12
971,1087,2016-09-09,Tsawwassen to Duke Point,2 hours,Queen of Alberni,10:15 AM,10:14 AM,12:15 PM,On Time,1015,1,3,-1,16
972,1088,2016-09-09,Tsawwassen to Duke Point,2 hours,Coastal Inspiration,12:45 PM,12:55 PM,2:49 PM,Traffic delays,1245,1,2,10,17
973,1089,2016-09-09,Tsawwassen to Duke Point,2 hours,Queen of Alberni,3:15 PM,3:17 PM,5:19 PM,On Time,1515,1,3,2,19
974,1090,2016-09-09,Tsawwassen to Duke Point,2 hours,Coastal Inspiration,5:45 PM,9:02 PM,...,Mechanical difficulties with vessel,1745,2,1,197,19
975,1091,2016-09-09,Tsawwassen to Duke Point,2 hours,Queen of Alberni,8:15 PM,8:41 PM,11:07 PM,Mechanical difficulties with vessel,2015,2,3,26,15
976,1092,2016-09-09,Tsawwassen to Duke Point,2 hours,Queen of New Westminster,8:35 PM,8:37 PM,10:35 PM,On Time,2035,3,3,2,15
978,1094,2016-09-09,Swartz Bay to Fulford Harbour (Saltspring Is.),35 minutes,Skeena Queen,7:00 AM,7:00 AM,7:35 AM,On Time,700,1,2,0,12
979,1095,2016-09-09,Swartz Bay to Fulford Harbour (Saltspring Is.),35 minutes,Skeena Queen,9:00 AM,8:59 AM,9:35 AM,On Time,900,1,2,-1,15
980,1096,2016-09-09,Swartz Bay to Fulford Harbour (Saltspring Is.),35 minutes,Skeena Queen,11:00 AM,11:01 AM,11:35 AM,On Time,1100,1,2,1,15
981,1097,2016-09-09,Swartz Bay to Fulford Harbour (Saltspring Is.),35 minutes,Skeena Queen,1:00 PM,1:00 PM,1:34 PM,On Time,1300,1,2,0,18
982,1098,2016-09-09,Swartz Bay to Fulford Harbour (Saltspring Is.),35 minutes,Skeena Queen,3:00 PM,3:07 PM,3:43 PM,On Time,1500,2,3,7,19
983,1099,2016-09-09,Swartz Bay to Fulford Harbour (Saltspring Is.),35 minutes,Skeena Queen,5:00 PM,5:01 PM,5:35 PM,On Time,1700,3,1,1,19
984,1100,2016-09-09,Swartz Bay to Fulford Harbour (Saltspring Is.),35 minutes,Skeena Queen,7:00 PM,7:02 PM,7:37 PM,On Time,1900,3,1,2,15
985,1101,2016-09-09,Swartz Bay to Fulford Harbour (Saltspring Is.),35 minutes,Skeena Queen,9:00 PM,8:57 PM,9:31 PM,On Time,2100,2,1,-3,15
986,1102,2016-09-09,Swartz Bay to Southern Gulf Islands,Variable,Mayne Queen,5:10 AM,5:11 AM,...,On Time,510,1,4,1,11
987,1103,2016-09-09,Swartz Bay to Southern Gulf Islands,Variable,Queen of Cumberland,5:20 AM,5:20 AM,...,On Time,520,1,4,0,11
988,1104,2016-09-09,Swartz Bay to Southern Gulf Islands,Variable,Queen of Cumberland,8:30 AM,8:30 AM,...,On Time,830,1,1,0,13
989,1105,2016-09-09,Swartz Bay to Southern Gulf Islands,Variable,Mayne Queen,9:10 AM,9:15 AM,...,On Time,910,1,2,5,15
990,1106,2016-09-09,Swartz Bay to Southern Gulf Islands,Variable,Queen of Cumberland,10:25 AM,10:27 AM,...,On Time,1025,1,3,2,16
991,1107,2016-09-09,Swartz Bay to Southern Gulf Islands,Variable,Queen of Cumberland,2:20 PM,2:31 PM,3:17 PM,Traffic delays,1420,1,4,11,19
992,1108,2016-09-09,Swartz Bay to Southern Gulf Islands,Variable,Mayne Queen,3:35 PM,3:33 PM,5:15 PM,On Time,1535,3,3,-2,19
993,1109,2016-09-09,Swartz Bay to Southern Gulf Islands,Variable,Queen of Cumberland,4:10 PM,4:30 PM,...,Traffic delays,1610,1,1,20,20
994,1110,2016-09-09,Swartz Bay to Southern Gulf Islands,Variable,Queen of Cumberland,6:35 PM,6:49 PM,7:31 PM,Traffic delays,1835,1,0,14,18
995,1111,2016-09-09,Swartz Bay to Southern Gulf Islands,Variable,Mayne Queen,7:55 PM,8:02 PM,...,On Time,1955,1,1,7,15
996,1112,2016-09-09,Swartz Bay to Southern Gulf Islands,Variable,Queen of Cumberland,8:15 PM,8:31 PM,9:15 PM,Traffic delays,2015,2,3,16,15
997,1113,2016-09-09,Swartz Bay to Tsawwassen,1 hour 35 minutes,Spirit of Vancouver Island,7:00 AM,6:59 AM,8:31 AM,On Time,700,1,2,-1,12
998,1114,2016-09-09,Swartz Bay to Tsawwassen,1 hour 35 minutes,Coastal Celebration,8:00 AM,8:05 AM,9:37 AM,On Time,800,1,1,5,13
999,1115,2016-09-09,Swartz Bay to Tsawwassen,1 hour 35 minutes,Coastal Renaissance,9:00 AM,9:09 AM,10:41 AM,On Time,900,1,2,9,15
1000,1116,2016-09-09,Swartz Bay to Tsawwassen,1 hour 35 minutes,Spirit of Vancouver Island,11:00 AM,11:11 AM,12:41 PM,Traffic delays,1100,1,2,11,15
1001,1117,2016-09-09,Swartz Bay to Tsawwassen,1 hour 35 minutes,Coastal Celebration,12:00 PM,12:14 PM,1:39 PM,Stalled vehicle on car deck,1200,1,2,14,17
1002,1118,2016-09-09,Swartz Bay to Tsawwassen,1 hour 35 minutes,Coastal Renaissance,1:00 PM,1:11 PM,2:37 PM,Traffic delays,1300,1,2,11,18
1003,1119,2016-09-09,Swartz Bay to Tsawwassen,1 hour 35 minutes,Queen of New Westminster,2:00 PM,2:01 PM,3:33 PM,On Time,1400,1,4,1,19
1004,1120,2016-09-09,Swartz Bay to Tsawwassen,1 hour 35 minutes,Spirit of Vancouver Island,3:00 PM,3:15 PM,4:47 PM,Traffic delays,1500,2,3,15,19
1005,1121,2016-09-09,Swartz Bay to Tsawwassen,1 hour 35 minutes,Coastal Celebration,4:00 PM,4:07 PM,5:37 PM,On Time,1600,1,1,7,20
1006,1122,2016-09-09,Swartz Bay to Tsawwassen,1 hour 35 minutes,Coastal Renaissance,5:00 PM,5:05 PM,6:33 PM,On Time,1700,3,1,5,19
1007,1123,2016-09-09,Swartz Bay to Tsawwassen,1 hour 35 minutes,Queen of New Westminster,6:00 PM,6:05 PM,7:29 PM,On Time,1800,2,0,5,18
1008,1124,2016-09-09,Swartz Bay to Tsawwassen,1 hour 35 minutes,Spirit of Vancouver Island,7:00 PM,7:23 PM,8:57 PM,Traffic delays,1900,3,1,23,15
1009,1125,2016-09-09,Swartz Bay to Tsawwassen,1 hour 35 minutes,Coastal Celebration,8:05 PM,8:14 PM,9:49 PM,On Time,2005,1,3,9,15
1010,1126,2016-09-09,Swartz Bay to Tsawwassen,1 hour 35 minutes,Coastal Renaissance,9:00 PM,8:59 PM,10:25 PM,On Time,2100,2,1,-1,15
1011,1127,2016-09-09,Duke Point to Tsawwassen,2 hours,Coastal Inspiration,5:15 AM,5:15 AM,7:23 AM,On Time,515,1,4,0,11
1012,1128,2016-09-09,Duke Point to Tsawwassen,2 hours,Queen of Alberni,7:45 AM,7:43 AM,9:47 AM,On Time,745,1,2,-2,12
1013,1129,2016-09-09,Duke Point to Tsawwassen,2 hours,Coastal Inspiration,10:15 AM,10:23 AM,12:21 PM,On Time,1015,1,3,8,16
1014,1130,2016-09-09,Duke Point to Tsawwassen,2 hours,Queen of Alberni,12:45 PM,12:46 PM,2:47 PM,On Time,1245,1,2,1,17
1015,1131,2016-09-09,Duke Point to Tsawwassen,2 hours,Coastal Inspiration,3:15 PM,3:28 PM,5:17 PM,Traffic delays,1515,1,3,13,19
1016,1132,2016-09-09,Duke Point to Tsawwassen,2 hours,Queen of Alberni,5:45 PM,5:53 PM,7:55 PM,On Time,1745,2,1,8,19
1018,1134,2016-09-09,Duke Point to Tsawwassen,2 hours,Queen of Alberni,10:45 PM,11:32 PM,ETA: 1:32 AM,Mechanical difficulties with vessel,2245,4,4,47,15
1019,1135,2016-09-09,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Cowichan,6:20 AM,6:19 AM,7:59 AM,On Time,620,1,1,-1,10
1020,1136,2016-09-09,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Oak Bay,8:30 AM,8:32 AM,10:17 AM,On Time,830,1,1,2,13
1021,1137,2016-09-09,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Cowichan,10:40 AM,10:40 AM,12:21 PM,On Time,1040,1,3,0,16
1022,1138,2016-09-09,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Coquitlam,12:00 PM,12:11 PM,1:53 PM,Operational delay,1200,1,2,11,17
1023,1139,2016-09-09,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Oak Bay,12:50 PM,1:03 PM,2:47 PM,Traffic delays,1250,1,2,13,17
1024,1140,2016-09-09,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Cowichan,3:10 PM,3:10 PM,4:53 PM,On Time,1510,1,3,0,19
1025,1141,2016-09-09,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Oak Bay,5:20 PM,5:34 PM,7:17 PM,Traffic delays,1720,2,1,14,19
1026,1142,2016-09-09,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Cowichan,7:30 PM,7:39 PM,9:19 PM,On Time,1930,2,1,9,15
1027,1143,2016-09-09,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Oak Bay,9:30 PM,9:50 PM,11:31 PM,Traffic delays,2130,1,1,20,15
1028,1144,2016-09-09,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,6:00 AM,6:00 AM,6:21 AM,On Time,600,1,1,0,10
1029,1145,2016-09-09,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,7:00 AM,6:59 AM,7:19 AM,On Time,700,1,2,-1,12
1030,1146,2016-09-09,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,8:00 AM,8:03 AM,8:25 AM,On Time,800,1,1,3,13
1031,1147,2016-09-09,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,9:05 AM,9:05 AM,9:25 AM,On Time,905,1,2,0,15
1032,1148,2016-09-09,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,10:05 AM,10:05 AM,10:25 AM,On Time,1005,1,3,0,16
1033,1149,2016-09-09,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,11:05 AM,11:07 AM,11:29 AM,On Time,1105,2,2,2,15
1034,1150,2016-09-09,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,12:10 PM,12:09 PM,12:31 PM,On Time,1210,2,2,-1,17
1035,1151,2016-09-09,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,2:35 PM,2:35 PM,2:55 PM,On Time,1435,1,4,0,19
1036,1152,2016-09-09,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,3:45 PM,3:45 PM,4:05 PM,On Time,1545,2,3,0,19
1037,1153,2016-09-09,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,4:45 PM,4:50 PM,5:11 PM,On Time,1645,2,1,5,20
1038,1154,2016-09-09,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,5:50 PM,5:54 PM,6:15 PM,On Time,1750,1,1,4,19
1039,1155,2016-09-09,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,6:50 PM,6:52 PM,7:13 PM,On Time,1850,3,0,2,18
1040,1156,2016-09-09,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,7:50 PM,7:50 PM,8:07 PM,On Time,1950,2,1,0,15
1041,1157,2016-09-09,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,8:40 PM,8:40 PM,9:01 PM,On Time,2040,1,3,0,15
1042,1158,2016-09-09,Horseshoe Bay to Snug Cove (Bowen Is.),20 minutes,Queen of Capilano,9:40 PM,9:40 PM,9:59 PM,On Time,2140,2,1,0,15
1043,1159,2016-09-09,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Oak Bay,6:20 AM,6:21 AM,8:03 AM,On Time,620,1,1,1,10
1044,1160,2016-09-09,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Cowichan,8:30 AM,8:30 AM,10:09 AM,On Time,830,1,1,0,13
1045,1161,2016-09-09,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Oak Bay,10:40 AM,10:48 AM,12:29 PM,On Time,1040,1,3,8,16
1046,1162,2016-09-09,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Cowichan,12:50 PM,12:50 PM,...,On Time,1250,1,2,0,17
1047,1163,2016-09-09,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Oak Bay,3:10 PM,3:22 PM,5:03 PM,Traffic delays,1510,1,3,12,19
1048,1164,2016-09-09,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Coquitlam,4:20 PM,4:54 PM,6:31 PM,Traffic delays,1620,1,1,34,20
1049,1165,2016-09-09,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Cowichan,5:20 PM,5:28 PM,7:09 PM,On Time,1720,2,1,8,19
1050,1166,2016-09-09,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Oak Bay,7:30 PM,7:46 PM,9:23 PM,Traffic delays,1930,2,1,16,15
1051,1167,2016-09-09,Horseshoe Bay to Departure Bay,1 hour 40 minutes,Queen of Cowichan,9:30 PM,9:43 PM,11:23 PM,Traffic delays,2130,1,1,13,15
1052,1168,2016-09-09,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,7:20 AM,7:20 AM,8:01 AM,On Time,720,1,2,0,12
1053,1169,2016-09-09,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,9:25 AM,9:28 AM,10:09 AM,On Time,925,1,2,3,15
1054,1170,2016-09-09,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,11:30 AM,11:47 AM,...,Traffic delays,1130,1,2,17,15
1055,1171,2016-09-09,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,1:35 PM,2:03 PM,2:43 PM,Traffic delays,1335,1,2,28,18
1056,1172,2016-09-09,Horseshoe Bay to Langdale,40 minutes,Queen of Coquitlam,2:10 PM,2:25 PM,3:21 PM,Traffic delays,1410,1,4,15,19
1057,1173,2016-09-09,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,3:50 PM,4:13 PM,4:53 PM,Traffic delays,1550,1,3,23,19
1058,1174,2016-09-09,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,5:50 PM,6:13 PM,6:53 PM,Traffic delays,1750,1,1,23,19
1059,1175,2016-09-09,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,7:50 PM,8:22 PM,9:03 PM,Traffic delays,1950,2,1,32,15
1060,1176,2016-09-09,Horseshoe Bay to Langdale,40 minutes,Queen of Surrey,9:45 PM,10:22 PM,11:01 PM,Traffic delays,2145,2,1,37,15
1061,1177,2016-09-09,Langdale to Horseshoe Bay,40 minutes,Queen of Surrey,6:20 AM,6:21 AM,7:03 AM,On Time,620,1,1,1,10
