,Date,Route,SailingTime,Vessel,ScheduledDeparture,ActualDeparture,ETA(Arrival.Time),Status,24HourDeparture,Traffic,WindSpeed_kph,Delay,Temperature
38,154,2016-09-01,Swartz Bay to Southern Gulf Islands,Variable,Queen of Cumberland,9:05 AM,9:05 AM,...,On Time,905,1,7,0,15
39,155,2016-09-01,Swartz Bay to Southern Gulf Islands,Variable,Mayne Queen,10:35 AM,10:34 AM,...,On Time,1035,1,2,-1,15
40,156,2016-09-01,Swartz Bay to Southern Gulf Islands,Variable,Queen of Cumberland,2:20 PM,2:19 PM,3:01 PM,On Time,1420,1,2,-1,16
41,157,2016-09-01,Swartz Bay to Southern Gulf Islands,Variable,Mayne Queen,3:00 PM,3:05 PM,...,On Time,1500,1,3,5,16
42,158,2016-09-01,Swartz Bay to Southern Gulf Islands,Variable,Queen of Cumberland,4:25 PM,4:32 PM,...,On Time,1625,1,1,7,15
43,159,2016-09-01,Swartz Bay to Southern Gulf Islands,Variable,Queen of Cumberland,6:45 PM,7:07 PM,...,Operational delay,1845,2,0,22,14
44,160,2016-09-01,Swartz Bay to Southern Gulf Islands,Variable,Mayne Queen,8:05 PM,8:05 PM,...,On Time,2005,3,4,0,12
45,161,2016-09-01,Swartz Bay to Tsawwassen,1 hour 35 minutes,Spirit of Vancouver Island,7:00 AM,7:01 AM,8:35 AM,On Time,700,1,4,1,13
46,162,2016-09-01,Swartz Bay to Tsawwassen,1 hour 35 minutes,Coastal Celebration,8:00 AM,8:00 AM,9:35 AM,On Time,800,1,4,0,15
47,163,2016-09-01,Swartz Bay to Tsawwassen,1 hour 35 minutes,Spirit of British Columbia,9:00 AM,9:10 AM,10:41 AM,Operational delay,900,1,7,10,15
48,164,2016-09-01,Swartz Bay to Tsawwassen,1 hour 35 minutes,Queen of New Westminster,10:00 AM,10:01 AM,11:31 AM,On Time,1000,1,2,1,15
49,165,2016-09-01,Swartz Bay to Tsawwassen,1 hour 35 minutes,Spirit of Vancouver Island,11:00 AM,11:06 AM,12:39 PM,On Time,1100,1,8,6,15
50,166,2016-09-01,Swartz Bay to Tsawwassen,1 hour 35 minutes,Coastal Celebration,12:00 PM,12:06 PM,1:35 PM,On Time,1200,1,4,6,15
51,167,2016-09-01,Swartz Bay to Tsawwassen,1 hour 35 minutes,Spirit of British Columbia,1:00 PM,1:13 PM,2:41 PM,Operational delay,1300,1,5,13,16
52,168,2016-09-01,Swartz Bay to Tsawwassen,1 hour 35 minutes,Queen of New Westminster,2:00 PM,2:01 PM,3:31 PM,On Time,1400,1,2,1,16
53,169,2016-09-01,Swartz Bay to Tsawwassen,1 hour 35 minutes,Spirit of Vancouver Island,3:00 PM,3:15 PM,4:41 PM,Extreme tidal conditions,1500,1,3,15,16
54,170,2016-09-01,Swartz Bay to Tsawwassen,1 hour 35 minutes,Coastal Celebration,4:00 PM,4:03 PM,5:35 PM,On Time,1600,1,1,3,15
55,171,2016-09-01,Swartz Bay to Tsawwassen,1 hour 35 minutes,Spirit of British Columbia,5:00 PM,5:17 PM,6:47 PM,Traffic delays,1700,2,0,17,15
56,172,2016-09-01,Swartz Bay to Tsawwassen,1 hour 35 minutes,Queen of New Westminster,6:00 PM,6:06 PM,7:41 PM,On Time,1800,2,0,6,14
57,173,2016-09-01,Swartz Bay to Tsawwassen,1 hour 35 minutes,Spirit of Vancouver Island,7:00 PM,7:10 PM,8:41 PM,Traffic delays,1900,3,1,10,13
58,174,2016-09-01,Swartz Bay to Tsawwassen,1 hour 35 minutes,Spirit of British Columbia,9:00 PM,9:17 PM,10:49 PM,Traffic delays,2100,2,6,17,11
59,175,2016-09-01,Duke Point to Tsawwassen,2 hours,Coastal Inspiration,5:15 AM,5:15 AM,7:17 AM,On Time,515,1,2,0,12
60,176,2016-09-01,Duke Point to Tsawwassen,2 hours,Queen of Alberni,7:45 AM,7:44 AM,9:47 AM,On Time,745,1,4,-1,13
61,177,2016-09-01,Duke Point to Tsawwassen,2 hours,Coastal Inspiration,10:15 AM,10:15 AM,12:17 PM,On Time,1015,1,2,0,15
62,178,2016-09-01,Duke Point to Tsawwassen,2 hours,Queen of Alberni,12:45 PM,12:45 PM,2:47 PM,On Time,1245,1,4,0,15
63,179,2016-09-01,Duke Point to Tsawwassen,2 hours,Coastal Inspiration,3:15 PM,3:19 PM,5:13 PM,On Time,1515,1,3,4,16
64,180,2016-09-01,Duke Point to Tsawwassen,2 hours,Queen of Alberni,5:45 PM,5:53 PM,7:51 PM,On Time,1745,1,0,8,15
65,181,2016-09-01,Duke Point to Tsawwassen,2 hours,Coastal Inspiration,8:15 PM,8:14 PM,10:15 PM,On Time,2015,1,4,-1,12
66,182,2016-09-01,Duke Point to Tsawwassen,2 hours,Queen of Alberni,10:45 PM,10:54 PM,ETA: 12:54 AM,Stalled vehicle on car deck,2245,3,6,9,11
67,183,2016-09-01,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Coastal Renaissance,6:20 AM,6:21 AM,8:01 AM,On Time,620,1,3,1,12
68,184,2016-09-01,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Cowichan,7:45 AM,7:44 AM,9:25 AM,On Time,745,1,4,-1,13
69,185,2016-09-01,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Oak Bay,8:30 AM,8:31 AM,10:13 AM,On Time,830,1,4,1,15
70,186,2016-09-01,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Coastal Renaissance,10:40 AM,10:39 AM,12:19 PM,On Time,1040,2,2,-1,15
71,187,2016-09-01,Departure Bay to Horseshoe Bay,1 hour 40 minutes,Queen of Cowichan,12:15 PM,12:12 PM,1:55 PM,On Time,1215,2,4,-3,15
